Category,Semester,Program,Deadline,Amount
Tuition Fee,Fall,Engineering Variation 0,July 31,5000
Tuition Fee,Fall,Arts Variation 0,July 31,4000
Tuition Fee,Spring,Engineering Variation 0,December 31,5000
Library Fee,Annual,All Variation 0,July 31,200
Laboratory Fee,Fall,Engineering Variation 0,July 31,400
Hostel Rent,Fall,All Variation 0,August 10,1500
Hostel Rent,Spring,All Variation 0,January 10,1500
Graduation Fee,Final,All Variation 0,May 1,300
Tuition Fee,Fall,Engineering Variation 1,July 31,5000
Tuition Fee,Fall,Arts Variation 1,July 31,4000
Tuition Fee,Spring,Engineering Variation 1,December 31,5000
Library Fee,Annual,All Variation 1,July 31,200
Laboratory Fee,Fall,Engineering Variation 1,July 31,400
Hostel Rent,Fall,All Variation 1,August 10,1500
Hostel Rent,Spring,All Variation 1,January 10,1500
Graduation Fee,Final,All Variation 1,May 1,300
Tuition Fee,Fall,Engineering Variation 2,July 31,5000
Tuition Fee,Fall,Arts Variation 2,July 31,4000
Tuition Fee,Spring,Engineering Variation 2,December 31,5000
Library Fee,Annual,All Variation 2,July 31,200
Laboratory Fee,Fall,Engineering Variation 2,July 31,400
Hostel Rent,Fall,All Variation 2,August 10,1500
Hostel Rent,Spring,All Variation 2,January 10,1500
Graduation Fee,Final,All Variation 2,May 1,300
Tuition Fee,Fall,Engineering Variation 3,July 31,5000
Tuition Fee,Fall,Arts Variation 3,July 31,4000
Tuition Fee,Spring,Engineering Variation 3,December 31,5000
Library Fee,Annual,All Variation 3,July 31,200
Laboratory Fee,Fall,Engineering Variation 3,July 31,400
Hostel Rent,Fall,All Variation 3,August 10,1500
Hostel Rent,Spring,All Variation 3,January 10,1500
Graduation Fee,Final,All Variation 3,May 1,300
Tuition Fee,Fall,Engineering Variation 4,July 31,5000
Tuition Fee,Fall,Arts Variation 4,July 31,4000
Tuition Fee,Spring,Engineering Variation 4,December 31,5000
Library Fee,Annual,All Variation 4,July 31,200
Laboratory Fee,Fall,Engineering Variation 4,July 31,400
Hostel Rent,Fall,All Variation 4,August 10,1500
Hostel Rent,Spring,All Variation 4,January 10,1500
Graduation Fee,Final,All Variation 4,May 1,300
Tuition Fee,Fall,Engineering Variation 5,July 31,5000
Tuition Fee,Fall,Arts Variation 5,July 31,4000
Tuition Fee,Spring,Engineering Variation 5,December 31,5000
Library Fee,Annual,All Variation 5,July 31,200
Laboratory Fee,Fall,Engineering Variation 5,July 31,400
Hostel Rent,Fall,All Variation 5,August 10,1500
Hostel Rent,Spring,All Variation 5,January 10,1500
Graduation Fee,Final,All Variation 5,May 1,300
Tuition Fee,Fall,Engineering Variation 6,July 31,5000
Tuition Fee,Fall,Arts Variation 6,July 31,4000
Tuition Fee,Spring,Engineering Variation 6,December 31,5000
Library Fee,Annual,All Variation 6,July 31,200
Laboratory Fee,Fall,Engineering Variation 6,July 31,400
Hostel Rent,Fall,All Variation 6,August 10,1500
Hostel Rent,Spring,All Variation 6,January 10,1500
Graduation Fee,Final,All Variation 6,May 1,300
Tuition Fee,Fall,Engineering Variation 7,July 31,5000
Tuition Fee,Fall,Arts Variation 7,July 31,4000
Tuition Fee,Spring,Engineering Variation 7,December 31,5000
Library Fee,Annual,All Variation 7,July 31,200
Laboratory Fee,Fall,Engineering Variation 7,July 31,400
Hostel Rent,Fall,All Variation 7,August 10,1500
Hostel Rent,Spring,All Variation 7,January 10,1500
Graduation Fee,Final,All Variation 7,May 1,300
Tuition Fee,Fall,Engineering Variation 8,July 31,5000
Tuition Fee,Fall,Arts Variation 8,July 31,4000
Tuition Fee,Spring,Engineering Variation 8,December 31,5000
Library Fee,Annual,All Variation 8,July 31,200
Laboratory Fee,Fall,Engineering Variation 8,July 31,400
Hostel Rent,Fall,All Variation 8,August 10,1500
Hostel Rent,Spring,All Variation 8,January 10,1500
Graduation Fee,Final,All Variation 8,May 1,300
Tuition Fee,Fall,Engineering Variation 9,July 31,5000
Tuition Fee,Fall,Arts Variation 9,July 31,4000
Tuition Fee,Spring,Engineering Variation 9,December 31,5000
Library Fee,Annual,All Variation 9,July 31,200
Laboratory Fee,Fall,Engineering Variation 9,July 31,400
Hostel Rent,Fall,All Variation 9,August 10,1500
